airport_code,airport_name,enplanements,year
CAK,Akron-Canton Regional,771107,2010
SAV,Savannah/Hilton Head International,798194,2010
ISP,Long Island MacArthur,858741,2010
SFB,Orlando Sanford International,553892,2010
PSP,Palm Springs International,751068,2010
PNS,Pensacola Gulf Coast Regional,729748,2010
MSN,Dane County Regional-Truax Field,766953,2010
ICT,Wichita Mid-Continent,751601,2010
ACY,Atlantic City International,669470,2010
SRQ,Sarasota/Bradenton International,670992,2010
MDT,Harrisburg International,664968,2010
BTV,Burlington International,640790,2010
JAN,Jackson-Evers International,618373,2010
FAT,Fresno Yosemite International,569879,2010
HSV,Huntsville International-Carl T Jones Field,606127,2010
ITO,Hilo International,611782,2010
STT,Cyril E King,606137,2010
XNA,Northwest Arkansas Regional,549195,2010
LEX,Blue Grass,539492,2010
IWA,Phoenix-Mesa Gateway,417862,2010
PHF,Newport News/Williamsburg International,519906,2010
BLI,Bellingham International,398368,2010
LBB,Lubbock Preston Smith International,508858,2010
CAE,Columbia Metropolitan,486879,2010
MAF,Midland International,445043,2010
FNT,Bishop International,497649,2010
FAI,Fairbanks International,435392,2010
VPS,Eglin AFB,348979,2010
CID,The Eastern Iowa,462670,2010
ABE,Lehigh Valley International,414427,2010
FSD,Joe Foss Field,355939,2010
ECP,Northwest Florida Beaches International,312114,2010
PIE,St Petersburg-Clearwater International,384394,2010
MLI,Quad City International,477086,2010
BIL,Billings Logan International,388329,2010
BZN,Bozeman Yellowstone International,364521,2010
BTR,"Baton Rouge Metropolitan, Ryan Field",382687,2010
GPT,Gulfport-Biloxi International,461072,2010
ILM,Wilmington International,408058,2010
EUG,Mahlon Sweet Field,369397,2010
AMA,Rick Husband Amarillo International,394593,2010
BGR,Bangor International,416328,2010
GSN,Francisco C. Ada/Saipan International,433577,2010
SBA,Santa Barbara Municipal,382894,2010
AVL,Asheville Regional,371226,2010
HRL,Valley International,373438,2010
JNU,Juneau International,344057,2010
GRB,Austin Straubel International,349733,2010
SGF,Springfield-Branson National,381172,2010
FAR,Hector International,365963,2010
EYW,Key West International,287359,2010
MFE,McAllen Miller International,344302,2010
GCN,Grand Canyon National Park,318622,2010
PSC,Tri-Cities,312915,2010
CRP,Corpus Christi International,339193,2010
ROA,Roanoke Regional/Woodrum Field,316478,2010
TLH,Tallahassee Regional,325097,2010
SBN,South Bend,317096,2010
